2025-07-21 at 22:18:44 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 22:18:44.313871
2025-07-21 at 22:18:45 | INFO | Обновление успешно обработано.
2025-07-21 at 22:22:40 | INFO | Бот остановлен...
2025-07-21 at 22:22:41 | ERROR | Бот остановлен!
2025-07-21 at 22:22:44 | INFO | Бот запущен...
2025-07-21 at 22:22:45 | INFO | Бот успешно запущен.
2025-07-21 at 22:22:45 | SUCCESS | Вебхук установлен: https://40c657fa626a.ngrok-free.app/webhook
2025-07-21 at 22:23:16 | INFO | Бот остановлен...
2025-07-21 at 22:23:17 | ERROR | Бот остановлен!
2025-07-21 at 22:23:20 | INFO | Бот запущен...
2025-07-21 at 22:23:21 | INFO | Бот успешно запущен.
2025-07-21 at 22:23:21 | SUCCESS | Вебхук установлен: https://40c657fa626a.ngrok-free.app/webhook
2025-07-21 at 22:23:26 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:23:26 | INFO | Запись User с ID 312831871 найдена.
2025-07-21 at 22:23:26 | INFO | Обновление успешно обработано.
2025-07-21 at 22:23:28 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:23:28 | INFO | Обновление успешно обработано.
2025-07-21 at 22:23:30 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:23:30 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 4}
2025-07-21 at 22:23:30 | INFO | Найдено 1 записей.
2025-07-21 at 22:23:30 | INFO | Обновление успешно обработано.
2025-07-21 at 22:23:31 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:23:31 | INFO | Запись MeetingRoom с ID 7 найдена.
2025-07-21 at 22:23:32 | INFO | Обновление успешно обработано.
2025-07-21 at 22:23:33 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:23:34 | INFO | Обновление успешно обработано.
2025-07-21 at 22:23:35 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:23:35 | INFO | Запись TimeSlot с ID 6 найдена.
2025-07-21 at 22:23:36 | INFO | Обновление успешно обработано.
2025-07-21 at 22:23:37 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:23:37 | INFO | Добавление записи Booking с параметрами: {'user_id': 312831871, 'meeting_room_id': 7, 'time_slot_id': 6, 'date': datetime.date(2025, 7, 27), 'status': 'booked'}
2025-07-21 at 22:23:37 | INFO | Запись Booking успешно добавлена.
2025-07-21 at 22:23:37 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-21 23:23:37.777664
2025-07-21 at 22:23:37 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 01:23:37.777664
2025-07-21 at 22:23:37 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 22:23:37.777664
2025-07-21 at 22:23:38 | INFO | Обновление успешно обработано.
2025-07-21 at 22:23:54 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:23:55 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 312831871}
2025-07-21 at 22:23:55 | INFO | Найдено 1 записей.
2025-07-21 at 22:23:55 | INFO | Обновление успешно обработано.
2025-07-21 at 22:24:04 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:24:04 | ERROR | Ошибка при обработке обновления с вебхука: type object 'Booking' has no attribute 'table'
2025-07-21 at 22:26:25 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:26:26 | ERROR | Ошибка при обработке обновления с вебхука: type object 'Booking' has no attribute 'table'
2025-07-21 at 22:26:32 | INFO | Бот остановлен...
2025-07-21 at 22:26:32 | ERROR | Бот остановлен!
2025-07-21 at 22:26:35 | INFO | Бот запущен...
2025-07-21 at 22:26:36 | INFO | Бот успешно запущен.
2025-07-21 at 22:26:36 | SUCCESS | Вебхук установлен: https://40c657fa626a.ngrok-free.app/webhook
2025-07-21 at 22:26:40 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:26:40 | INFO | Запись User с ID 312831871 найдена.
2025-07-21 at 22:26:41 | INFO | Обновление успешно обработано.
2025-07-21 at 22:26:42 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:26:43 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 312831871}
2025-07-21 at 22:26:43 | INFO | Найдено 1 записей.
2025-07-21 at 22:26:43 | INFO | Обновление успешно обработано.
2025-07-21 at 22:26:45 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:26:45 | INFO | Обновление успешно обработано.
2025-07-21 at 22:41:23 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:41:24 | INFO | Обновление успешно обработано.
2025-07-21 at 22:41:53 | INFO | Бот остановлен...
2025-07-21 at 22:41:53 | ERROR | Бот остановлен!
2025-07-22 at 20:03:30 | INFO | Бот запущен...
2025-07-22 at 20:03:30 | INFO | Бот успешно запущен.
2025-07-22 at 20:03:31 | SUCCESS | Вебхук установлен: https://40c657fa626a.ngrok-free.app/webhook
2025-07-22 at 20:03:51 | INFO | Бот остановлен...
2025-07-22 at 20:03:51 | ERROR | Бот остановлен!
2025-07-22 at 20:04:28 | INFO | Бот запущен...
2025-07-22 at 20:04:29 | INFO | Бот успешно запущен.
2025-07-22 at 20:04:30 | SUCCESS | Вебхук установлен: https://6605fb1663b6.ngrok-free.app/webhook
2025-07-22 at 20:04:34 | INFO | Получен запрос с вебхука.
2025-07-22 at 20:04:34 | INFO | Запись User с ID 312831871 найдена.
2025-07-22 at 20:04:34 | INFO | Обновление успешно обработано.
2025-07-22 at 20:04:37 | INFO | Получен запрос с вебхука.
2025-07-22 at 20:04:37 | INFO | Обновление успешно обработано.
2025-07-22 at 20:04:39 | INFO | Получен запрос с вебхука.
2025-07-22 at 20:04:39 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 3}
2025-07-22 at 20:04:39 | INFO | Найдено 0 записей.
2025-07-22 at 20:04:39 | INFO | Обновление успешно обработано.
2025-07-22 at 20:04:48 | INFO | Получен запрос с вебхука.
2025-07-22 at 20:04:49 | INFO | Обновление успешно обработано.
